                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91559,                 2.6801,                 1.1497,                0.89162,                0.90973,                0.95959,                 0.8104,                0.93963,                 1.1621,                 1.3232,              9.214e-05,              9.214e-05,              9.214e-05
                      2,                0.75645,                 1.0156,                 1.0268,                0.97507,                0.97148,                0.98473,                0.83682,                0.87142,                0.72116,                  1.313,             0.00017749,             0.00017749,             0.00017749
                      3,                0.73411,                0.80069,                 1.0032,                0.96883,                0.97238,                0.98554,                0.83373,                0.89414,                0.67908,                 1.2305,              0.0002555,              0.0002555,              0.0002555
                      4,                0.72437,                0.71289,                 0.9973,                0.99283,                0.98566,                0.98708,                0.83659,                0.86848,                0.61469,                 1.2532,             0.00024497,             0.00024497,             0.00024497
                      5,                0.71524,                0.67468,                0.99273,                  0.968,                0.96751,                0.98594,                0.84125,                0.83966,                0.60138,                 1.2125,             0.00024497,             0.00024497,             0.00024497
                      6,                0.70266,                0.62206,                0.98245,                 0.9866,                0.98646,                0.98699,                0.84578,                0.86898,                0.54485,                 1.2175,             0.00023396,             0.00023396,             0.00023396
                      7,                0.70249,                0.58877,                0.98552,                0.98859,                 0.9883,                0.98773,                0.84974,                0.83147,                0.55221,                  1.212,             0.00022296,             0.00022296,             0.00022296
                      8,                0.69005,                 0.5634,                0.97662,                0.99111,                0.98983,                0.98771,                0.85094,                0.82408,                0.51521,                 1.1951,             0.00021195,             0.00021195,             0.00021195
                      9,                0.68883,                0.54258,                0.97505,                0.99021,                0.98727,                0.98827,                0.85422,                0.81285,                0.48956,                 1.1925,             0.00020094,             0.00020094,             0.00020094
                     10,                0.68462,                0.53453,                0.97615,                0.99322,                0.98991,                0.98801,                0.85388,                0.81431,                 0.4889,                 1.1782,             0.00018993,             0.00018993,             0.00018993
                     11,                0.68093,                0.51726,                0.96818,                0.99405,                0.99141,                0.98865,                 0.8542,                0.81191,                0.46346,                 1.1935,             0.00017892,             0.00017892,             0.00017892
                     12,                 0.6745,                0.49842,                0.97074,                0.99338,                0.99123,                0.98815,                0.85631,                0.80256,                0.47304,                 1.1757,             0.00016791,             0.00016791,             0.00016791
                     13,                0.67423,                0.50007,                0.97426,                0.99088,                0.99079,                0.98827,                0.85784,                0.79163,                 0.4578,                 1.1549,              0.0001569,              0.0001569,              0.0001569
                     14,                 0.6608,                0.47273,                0.96237,                0.99389,                0.99021,                0.98874,                0.85659,                0.80331,                0.47713,                 1.1938,             0.00014589,             0.00014589,             0.00014589
                     15,                0.66002,                0.47033,                0.96621,                0.99346,                0.99065,                0.98822,                0.86219,                0.78015,                0.43822,                 1.1612,             0.00013489,             0.00013489,             0.00013489
                     16,                0.61285,                0.33462,                0.94875,                0.99473,                0.98953,                0.98857,                0.86019,                0.80782,                0.45724,                 1.1916,             0.00012388,             0.00012388,             0.00012388
                     17,                0.60991,                0.32641,                0.94658,                0.99508,                 0.9902,                0.98882,                0.86395,                0.79009,                0.43932,                 1.1704,             0.00011287,             0.00011287,             0.00011287
                     18,                0.60385,                0.31778,                0.93873,                0.99462,                0.99027,                0.98854,                0.86244,                0.79132,                0.44108,                 1.1498,             0.00010186,             0.00010186,             0.00010186
                     19,                0.60045,                0.30996,                 0.9395,                0.99647,                0.99029,                0.98898,                0.86698,                0.78648,                0.42432,                 1.1654,              9.085e-05,              9.085e-05,              9.085e-05
                     20,                0.59543,                0.30029,                0.93716,                0.99682,                0.99016,                0.98941,                0.86798,                0.77042,                0.40574,                 1.1435,             7.9842e-05,             7.9842e-05,             7.9842e-05
                     21,                0.59131,                0.29321,                0.93582,                0.99589,                0.98966,                0.98913,                0.86899,                0.76321,                0.40893,                 1.1417,             6.8833e-05,             6.8833e-05,             6.8833e-05
                     22,                0.58737,                0.28768,                0.93061,                 0.9951,                 0.9916,                 0.9893,                 0.8698,                0.76666,                0.40563,                 1.1478,             5.7824e-05,             5.7824e-05,             5.7824e-05
                     23,                0.58076,                0.28228,                0.92774,                 0.9953,                0.99087,                0.98929,                0.87039,                0.77901,                0.40977,                 1.1631,             4.6815e-05,             4.6815e-05,             4.6815e-05
                     24,                0.57845,                0.27771,                0.92789,                0.99472,                0.99203,                0.98929,                0.87181,                0.75889,                 0.3993,                 1.1332,             3.5806e-05,             3.5806e-05,             3.5806e-05
                     25,                0.57544,                0.26847,                0.92272,                0.99681,                0.99085,                0.98943,                0.87243,                0.75986,                0.39135,                 1.1378,             2.4798e-05,             2.4798e-05,             2.4798e-05
